ID	Group	f__AKAU3564_sediment_group	f__Desulfuromonadaceae	g__Citrifermentans	g__Geobacter	o__Dehalococcoidales
L104	1	59	0	69	12	8
L103	1	0	6	27	27	12
L102	1	406	0	17	419	0
L101	1	4	0	17	0	0
L100	1	173	0	34	326	4
L99	1	2	0	0	25	0
L98	1	51	2	51	431	7
L97	1	197	0	34	298	5
L96	1	107	2	27	312	7
L95	1	0	0	5	0	0
L94	1	0	0	0	0	4
L93	1	182	0	106	28	33
L92	1	51	0	69	25	18
L91	1	3	0	0	0	0
L90	1	154	0	110	0	61
L89	1	57	0	49	15	13
L88	1	0	0	0	0	0
L87	1	0	0	0	0	0
L86	1	0	0	0	0	0
L85	0	9	0	0	0	0
L84	0	0	0	0	0	0
L83	0	0	0	0	0	0
L82	0	0	0	0	0	2
L81	0	0	0	0	0	0
L80	0	0	0	0	4	0
L79	0	0	0	0	5	0
L78	0	2	0	0	0	0
L77	0	0	0	0	0	0
L76	0	0	0	0	0	3
L75	0	0	0	0	0	0
L74	0	0	0	0	0	0
L73	0	0	0	0	0	0
L72	0	0	0	0	0	0
L71	0	0	0	0	0	0
L70	0	0	0	0	0	0
L69	1	0	0	0	0	0
L68	1	6	25	0	10	0
L67	1	0	0	0	7	4
L66	1	3	20	6	24	4
L65	1	0	0	0	0	0
L64	1	7	107	12	0	5
L63	1	0	0	0	0	4
L62	1	10	0	66	6	0
L61	1	3	0	30	14	5
L60	1	7	0	44	16	4
L59	1	103	12	102	57	8
L58	1	23	27	41	34	8
L57	1	43	9	31	64	0
L56	1	3	0	19	0	0
L55	1	0	0	0	6	0
L54	1	4	0	5	17	3
L53	1	56	37	11	65	11
L52	1	29	60	11	9	8
L51	1	3	6	26	6	0
L50	1	0	0	17	3	0
L49	1	2	0	24	10	3
L48	1	0	4	0	0	0
L47	1	0	0	0	0	0
L46	1	2	85	9	0	9
L45	1	3	24	0	0	0
L44	1	4	35	0	0	2
L43	1	9	0	0	28	10
L42	1	0	4	0	0	0
L41	1	33	0	54	16	3
L40	1	0	0	0	0	0
L39	1	0	0	0	0	0
L38	1	27	65	10	67	9
L37	1	44	0	17	47	0
L36	1	49	0	92	36	0
L35	1	26	0	8	87	7
L34	0	0	0	0	0	0
L33	1	50	0	103	0	2
L32	1	6	0	0	11	4
L31	1	0	93	9	0	7
L30	1	7	0	0	12	3
L29	1	0	0	22	0	0
L28	1	30	0	108	18	14
L27	1	0	48	14	0	4
L26	1	0	0	0	0	0
L25	1	0	0	0	0	0
L24	1	0	0	0	0	0
L23	1	13	0	76	31	8
L22	1	0	0	0	0	0
L21	1	0	0	0	0	0
L20	1	5	0	23	0	3
L19	1	6	5	10	0	2
L18	1	0	0	0	0	3
L17	1	0	0	0	0	0
L16	1	0	0	0	0	0
L15	1	3	0	4	0	3
L14	1	2	0	0	0	0
L13	1	0	0	0	0	0
L12	1	0	0	0	0	0
L11	0	0	0	0	0	0
L10	0	0	0	0	0	0
L9	0	0	0	0	0	0
L8	1	7	14	52	23	11
L7	1	0	0	17	7	5
L6	0	24	0	0	0	0
L5	0	0	0	0	0	0
L4	1	0	0	3	0	0
L3	0	0	0	0	0	0
L2	0	0	0	0	0	0
L1	0	0	0	0	0	6
