ID,Group,f__AKAU3564_sediment_group,f__Desulfuromonadaceae,g__Citrifermentans,g__Geobacter,o__Dehalococcoidales
m1,1,0,0,0,0.00201,0
m2,1,0,0,0,0.00202,0
m3,1,0,0,0,0.00203,0
m4,1,0,0,0,0.00204,0
m5,1,0,0,0,0.00205,0
m6,1,0,0,0,0.00206,0
m7,1,0,0,0,0.00207,0
m8,1,0,0,0,0.00208,0
m9,1,0,0,0,0.00209,0
m10,1,0,0,0,0.0021,0
m11,1,0,0,0,0.00211,0
m12,1,0,0,0,0.00212,0
m13,1,0,0,0,0.00213,0
m14,1,0,0,0,0.00214,0
m15,1,0,0,0,0.00215,0
m16,1,0,0,0,0.00216,0
m17,1,0,0,0,0.00217,0
m18,1,0,0,0,0.00218,0
m19,1,0,0,0,0.00219,0
m20,1,0,0,0,0.0022,0
m21,1,0,0,0,0.00221,0
m22,1,0,0,0,0.00222,0
m23,1,0,0,0,0.00223,0
m24,1,0,0,0,0.00224,0
m25,1,0,0,0,0.00225,0
m26,1,0,0,0,0.00226,0
m27,1,0,0,0,0.00227,0
m28,1,0,0,0,0.00228,0
m29,1,0,0,0,0.00229,0
m30,1,0,0,0,0.0023,0
m31,1,0,0,0,0.00231,0
m32,1,0,0,0,0.00232,0
m33,1,0,0,0,0.00233,0
m34,1,0,0,0,0.00234,0
m35,1,0,0,0,0.00235,0
m36,1,0,0,0,0.00236,0
m37,1,0,0,0,0.00237,0
m38,1,0,0,0,0.00238,0
m39,1,0,0,0,0.00239,0
m40,1,0,0,0,0.0024,0
m41,1,0,0,0,0.00241,0
m42,1,0,0,0,0.00242,0
m43,1,0,0,0,0.00243,0
m44,1,0,0,0,0.00244,0
m45,1,0,0,0,0.00245,0
m46,1,0,0,0,0.00246,0
m47,1,0,0,0,0.00247,0
m48,1,0,0,0,0.00248,0
m49,1,0,0,0,0.00249,0
m50,1,0,0,0,0.0025,0
m51,1,0,0,0,0.00251,0
m52,1,0,0,0,0.00252,0
m53,1,0,0,0,0.00253,0
m54,1,0,0,0,0.00254,0
m55,1,0,0,0,0.00255,0
m56,1,0,0,0,0.00256,0
m57,1,0,0,0,0.00257,0
m58,1,0,0,0,0.00258,0
m59,1,0,0,0,0.00259,0
m60,1,0,0,0,0.0026,0
m61,1,0,0,0,0.00261,0
m62,1,0,0,0,0.00262,0
m63,1,0,0,0,0.00263,0
m64,1,0,0,0,0.00264,0
m65,1,0,0,0,0.00265,0
m66,1,0,0,0,0.00266,0
m67,1,0,0,0,0.00267,0
m68,1,0,0,0,0.00268,0
m69,1,0,0,0,0.00269,0
m70,1,0,0,0,0.0027,0
m71,1,0,0,0,0.00271,0
m72,1,0,0,0,0.00272,0
m73,1,0,0,0,0.00273,0
m74,1,0,0,0,0.00274,0
m75,1,0,0,0,0.00275,0
m76,1,0,0,0,0.00276,0
m77,1,0,0,0,0.00277,0
m78,1,0,0,0,0.00278,0
m79,1,0,0,0,0.00279,0
m80,1,0,0,0,0.0028,0
m81,1,0,0,0,0.00281,0
m82,1,0,0,0,0.00282,0
m83,1,0,0,0,0.00283,0
m84,1,0,0,0,0.00284,0
m85,1,0,0,0,0.00285,0
m86,1,0,0,0,0.00286,0
m87,1,0,0,0,0.00287,0
m88,1,0,0,0,0.00288,0
m89,1,0,0,0,0.00289,0
m90,1,0,0,0,0.0029,0
m91,1,0,0,0,0.00291,0
m92,1,0,0,0,0.00292,0
m93,1,0,0,0,0.00293,0
m94,1,0,0,0,0.00294,0
m95,1,0,0,0,0.00295,0
m96,1,0,0,0,0.00296,0
m97,1,0,0,0,0.00297,0
m98,1,0,0,0,0.00298,0
m99,1,0,0,0,0.00299,0
m100,1,0,0,0,0.003,0
m101,1,0,0,0,0.00301,0
m102,1,0,0,0,0.00302,0
m103,1,0,0,0,0.00303,0
m104,1,0,0,0,0.00304,0
m105,1,0,0,0,0.00305,0
m106,1,0,0,0,0.00306,0
m107,1,0,0,0,0.00307,0
m108,1,0,0,0,0.00308,0
m109,1,0,0,0,0.00309,0
m110,1,0,0,0,0.0031,0
m111,1,0,0,0,0.00311,0
m112,1,0,0,0,0.00312,0
m113,1,0,0,0,0.00313,0
m114,1,0,0,0,0.00314,0
m115,1,0,0,0,0.00315,0
m116,1,0,0,0,0.00316,0
m117,1,0,0,0,0.00317,0
m118,1,0,0,0,0.00318,0
m119,1,0,0,0,0.00319,0
m120,1,0,0,0,0.0032,0
m121,1,0,0,0,0.00321,0
m122,1,0,0,0,0.00322,0
m123,1,0,0,0,0.00323,0
m124,1,0,0,0,0.00324,0
m125,1,0,0,0,0.00325,0
m126,1,0,0,0,0.00326,0
m127,1,0,0,0,0.00327,0
m128,1,0,0,0,0.00328,0
m129,1,0,0,0,0.00329,0
m130,1,0,0,0,0.0033,0
m131,1,0,0,0,0.00331,0
m132,1,0,0,0,0.00332,0
m133,1,0,0,0,0.00333,0
m134,1,0,0,0,0.00334,0
m135,1,0,0,0,0.00335,0
m136,1,0,0,0,0.00336,0
m137,1,0,0,0,0.00337,0
m138,1,0,0,0,0.00338,0
m139,1,0,0,0,0.00339,0
m140,1,0,0,0,0.0034,0
m141,1,0,0,0,0.00341,0
m142,1,0,0,0,0.00342,0
m143,1,0,0,0,0.00343,0
m144,1,0,0,0,0.00344,0
m145,1,0,0,0,0.00345,0
m146,1,0,0,0,0.00346,0
m147,1,0,0,0,0.00347,0
m148,1,0,0,0,0.00348,0
m149,1,0,0,0,0.00349,0
m150,1,0,0,0,0.0035,0
m151,1,0,0,0,0.00351,0
m152,1,0,0,0,0.00352,0
m153,1,0,0,0,0.00353,0
m154,1,0,0,0,0.00354,0
m155,1,0,0,0,0.00355,0
m156,1,0,0,0,0.00356,0
m157,1,0,0,0,0.00357,0
m158,1,0,0,0,0.00358,0
m159,1,0,0,0,0.00359,0
m160,1,0,0,0,0.0036,0
m161,1,0,0,0,0.00361,0
m162,1,0,0,0,0.00362,0
m163,1,0,0,0,0.00363,0
m164,1,0,0,0,0.00364,0
m165,1,0,0,0,0.00365,0
m166,1,0,0,0,0.00366,0
m167,1,0,0,0,0.00367,0
m168,1,0,0,0,0.00368,0
m169,1,0,0,0,0.00369,0
m170,1,0,0,0,0.0037,0
m171,1,0,0,0,0.00371,0
m172,1,0,0,0,0.00372,0
m173,1,0,0,0,0.00373,0
m174,1,0,0,0,0.00374,0
m175,1,0,0,0,0.00375,0
m176,1,0,0,0,0.00376,0
m177,1,0,0,0,0.00377,0
m178,1,0,0,0,0.00378,0
m179,1,0,0,0,0.00379,0
m180,1,0,0,0,0.0038,0
m181,1,0,0,0,0.00381,0
m182,1,0,0,0,0.00382,0
m183,1,0,0,0,0.00383,0
m184,1,0,0,0,0.00384,0
m185,1,0,0,0,0.00385,0
m186,1,0,0,0,0.00386,0
m187,1,0,0,0,0.00387,0
m188,1,0,0,0,0.00388,0
m189,1,0,0,0,0.00389,0
m190,1,0,0,0,0.0039,0
m191,1,0,0,0,0.00391,0
m192,1,0,0,0,0.00392,0
m193,1,0,0,0,0.00393,0
m194,1,0,0,0,0.00394,0
m195,1,0,0,0,0.00395,0
m196,1,0,0,0,0.00396,0
m197,1,0,0,0,0.00397,0
m198,1,0,0,0,0.00398,0
m199,1,0,0,0,0.00399,0
m200,1,0,0,0,0.004,0
m201,1,0,0,0,0.00401,0
m202,1,0,0,0,0.00402,0
m203,1,0,0,0,0.00403,0
m204,1,0,0,0,0.00404,0
m205,1,0,0,0,0.00405,0
m206,1,0,0,0,0.00406,0
m207,1,0,0,0,0.00407,0
m208,1,0,0,0,0.00408,0
m209,1,0,0,0,0.00409,0
m210,1,0,0,0,0.0041,0
m211,1,0,0,0,0.00411,0
m212,1,0,0,0,0.00412,0
m213,1,0,0,0,0.00413,0
m214,1,0,0,0,0.00414,0
m215,1,0,0,0,0.00415,0
m216,1,0,0,0,0.00416,0
m217,1,0,0,0,0.00417,0
m218,1,0,0,0,0.00418,0
m219,1,0,0,0,0.00419,0
m220,1,0,0,0,0.0042,0
m221,1,0,0,0,0.00421,0
m222,1,0,0,0,0.00422,0
m223,1,0,0,0,0.00423,0
m224,1,0,0,0,0.00424,0
m225,1,0,0,0,0.00425,0
m226,1,0,0,0,0.00426,0
m227,1,0,0,0,0.00427,0
m228,1,0,0,0,0.00428,0
m229,1,0,0,0,0.00429,0
m230,1,0,0,0,0.0043,0
m231,1,0,0,0,0.00431,0
