ID,Group,f__AKAU3564_sediment_group,f__Desulfuromonadaceae,g__Citrifermentans,g__Geobacter,o__Dehalococcoidales
L104,1,3.770925615,0,3.838912027,3.079543007,2.903632516
L103,1,0,2.778874472,3.431524584,3.431524584,3.079543007
L102,1,4.60853673,0,3.230704314,4.622224388,0
L101,1,2.603144373,0,3.230704314,0,0
L100,1,4.238071206,0,3.531606632,4.513230922,2.603144373
L99,1,2.303196057,0,0,3.398113692,0
L98,1,3.707655324,2.303196057,3.707655324,4.634487346,2.845718018
L97,1,4.294488271,0,3.531606632,4.474230837,2.699837726
L96,1,4.029424364,2.303196057,3.431524584,4.494168513,2.845718018
L95,1,0,0,2.699837726,0,0
L94,1,0,0,0,0,2.603144373
L93,1,4.26009525,0,4.025346835,3.447313109,3.518645524
L92,1,3.707655324,0,3.838912027,3.398113692,3.255513713
L91,1,2.478566496,0,0,0,0
L90,1,4.187548921,0,4.041432165,0,3.785401025
L89,1,3.755951041,0,3.690284703,3.176380692,3.114277297
L88,1,0,0,0,0,0
L87,1,0,0,0,0,0
L86,1,0,0,0,0,0
L85,0,2.954724791,0,0,0,0
L84,0,0,0,0,0,0
L83,0,0,0,0,0,0
L82,0,0,0,0,0,2.303196057
L81,0,0,0,0,0,0
L80,0,0,0,0,2.603144373,0
L79,0,0,0,0,2.699837726,0
L78,0,2.303196057,0,0,0,0
L77,0,0,0,0,0,0
L76,0,0,0,0,0,2.478566496
L75,0,0,0,0,0,0
L74,0,0,0,0,0,0
L73,0,0,0,0,0,0
L72,0,0,0,0,0,0
L71,0,0,0,0,0,0
L70,0,0,0,0,0,0
L69,1,0,0,0,0,0
L68,1,2.778874472,3.398113692,0,3.000434077,0
L67,1,0,0,0,2.845718018,2.603144373
L66,1,2.478566496,3.301247089,2.778874472,3.38039216,2.603144373
L65,1,0,0,0,0,0
L64,1,2.845718018,4.029424364,3.079543007,0,2.699837726
L63,1,0,0,0,0,2.603144373
L62,1,3.000434077,0,3.819609733,2.778874472,0
L61,1,2.478566496,0,3.477265995,3.146438135,2.699837726
L60,1,2.845718018,0,3.643551369,3.204391332,2.603144373
L59,1,4.012879387,3.079543007,4.008642748,3.755951041,2.903632516
L58,1,3.361916619,3.431524584,3.612889769,3.531606632,2.903632516
L57,1,3.633569443,2.954724791,3.491501766,3.806247827,0
L56,1,2.478566496,0,3.278982117,0,0
L55,1,0,0,0,2.778874472,0
L54,1,2.603144373,0,2.699837726,3.230704314,2.478566496
L53,1,3.748265573,3.568319085,3.041787319,3.812980166,3.041787319
L52,1,3.462547729,3.778223627,3.041787319,2.954724791,2.903632516
L51,1,2.478566496,2.778874472,3.415140352,2.778874472,0
L50,1,0,0,3.230704314,2.478566496,0
L49,1,2.303196057,0,3.38039216,3.000434077,2.478566496
L48,1,0,2.603144373,0,0,0
L47,1,0,0,0,0,0
L46,1,2.303196057,3.929470016,2.954724791,0,2.954724791
L45,1,2.478566496,3.38039216,0,0,0
L44,1,2.603144373,3.544192111,0,0,2.303196057
L43,1,2.954724791,0,0,3.447313109,3.000434077
L42,1,0,2.603144373,0,0,0
L41,1,3.518645524,0,3.732474177,3.204391332,2.478566496
L40,1,0,0,0,0,0
L39,1,0,0,0,0,0
L38,1,3.431524584,3.812980166,3.000434077,3.826139618,2.954724791
L37,1,3.643551369,0,3.230704314,3.672190251,0
L36,1,3.690284703,0,3.963835031,3.556423121,0
L35,1,3.415140352,0,2.903632516,3.939569169,2.845718018
L34,0,0,0,0,0,0
L33,1,3.699056855,0,4.012879387,0,2.303196057
L32,1,2.778874472,0,0,3.041787319,2.603144373
L31,1,0,3.968529644,2.954724791,0,2.845718018
L30,1,2.845718018,0,0,3.079543007,2.478566496
L29,1,0,0,3.342620043,0,0
L28,1,3.477265995,0,4.033463966,3.255513713,3.146438135
L27,1,0,3.681331706,3.146438135,0,2.603144373
L26,1,0,0,0,0,0
L25,1,0,0,0,0,0
L24,1,0,0,0,0,0
L23,1,3.114277297,0,3.880870733,3.491501766,2.903632516
L22,1,0,0,0,0,0
L21,1,0,0,0,0,0
L20,1,2.699837726,0,3.361916619,0,2.478566496
L19,1,2.778874472,2.699837726,3.000434077,0,2.303196057
L18,1,0,0,0,0,2.478566496
L17,1,0,0,0,0,0
L16,1,0,0,0,0,0
L15,1,2.478566496,0,2.603144373,0,2.478566496
L14,1,2.303196057,0,0,0,0
L13,1,0,0,0,0,0
L12,1,0,0,0,0,0
L11,0,0,0,0,0,0
L10,0,0,0,0,0,0
L9,0,0,0,0,0,0
L8,1,2.845718018,3.146438135,3.716086854,3.361916619,3.041787319
L7,1,0,0,3.230704314,2.845718018,2.699837726
L6,0,3.38039216,0,0,0,0
L5,0,0,0,0,0,0
L4,1,0,0,2.478566496,0,0
L3,0,0,0,0,0,0
L2,0,0,0,0,0,0
L1,0,0,0,0,0,2.778874472
