ID	Group	f__AKAU3564_sediment_group	f__Desulfuromonadaceae	g__Citrifermentans	g__Geobacter	o__Dehalococcoidales
L104	1	4.960185277	0	5.02818477	4.26853117	4.092439911
L103	1	0	3.926136571	4.579280438	4.579280438	4.227115083
L102	1	5.787072057	0	4.409019638	5.800760368	0
L101	1	3.822691011	0	4.451033825	0	0
L100	1	5.350751818	0	4.644192321	5.625922299	3.714832512
L99	1	3.459241665	0	0	4.556000803	0
L98	1	4.879049981	3.472610198	4.879049981	5.805953267	4.016615548
L97	1	5.477669567	0	4.714690125	5.657419207	3.882239848
L96	1	5.207494337	3.479287316	4.609477016	5.672262304	4.02325246
L95	1	0	0	3.84167225	0	0
L94	1	0	0	0	0	3.79518459
L93	1	5.461782061	0	5.227017246	4.648876953	4.720233748
L92	1	4.892367343	0	5.023647467	4.582744966	4.440090074
L91	1	3.660011221	0	0	0	0
L90	1	5.36248059	0	5.216353308	0	4.960289982
L89	1	4.964287922	0	4.898610012	4.384514699	4.322364035
L88	1	0	0	0	0	0
L87	1	0	0	0	0	0
L86	1	0	0	0	0	0
L85	0	4.097430854	0	0	0	0
L84	0	0	0	0	0	0
L83	0	0	0	0	0	0
L82	0	0	0	0	0	3.479287316
L81	0	0	0	0	0	0
L80	0	0	0	0	3.726971584	0
L79	0	0	0	0	3.826334006	0
L78	0	3.452706227	0	0	0	0
L77	0	0	0	0	0	0
L76	0	0	0	0	0	3.617524535
L75	0	0	0	0	0	0
L74	0	0	0	0	0	0
L73	0	0	0	0	0	0
L72	0	0	0	0	0	0
L71	0	0	0	0	0	0
L70	0	0	0	0	0	0
L69	1	0	0	0	0	0
L68	1	4.036509129	4.656289901	0	4.258349893	0
L67	1	0	0	0	4.04060234	3.79761373
L66	1	3.674769314	4.498613765	3.975753389	4.577801899	3.799685091
L65	1	0	0	0	0	0
L64	1	4.042929733	5.227187159	4.277012939	0	3.896801698
L63	1	0	0	0	0	3.808953299
L62	1	4.230857477	0	5.050368154	4.009025742	0
L61	1	3.728272598	0	4.72820764	4.397227181	3.95007263
L60	1	4.048597158	0	4.8469059	4.40757784	3.805568818
L59	1	5.16988301	4.236260071	5.165644892	4.912923166	4.060168812
L58	1	4.518645524	4.588282914	4.769694806	4.688393123	4.060017543
L57	1	4.831120786	4.15192118	4.689015678	5.003826598	0
L56	1	3.684216795	0	4.485735619	0	0
L55	1	0	0	0	3.997	0
L54	1	3.787176992	0	3.884058647	4.415490852	3.662285516
L53	1	4.93615671	4.756171903	4.229374631	5.000880724	4.229374631
L52	1	4.654628897	4.970379424	4.23363058	4.146500129	4.095343732
L51	1	3.704665185	4.005652315	4.642424947	4.005652315	0
L50	1	0	0	4.478638632	3.725339816	0
L49	1	3.532499586	0	4.611606489	4.231418614	3.708590845
L48	1	0	3.782114147	0	0	0
L47	1	0	0	0	0	0
L46	1	3.478133428	5.106411899	4.131265697	0	4.131265697
L45	1	3.677241846	4.580251925	0	0	0
L44	1	3.788804493	4.730717692	0	0	3.48784512
L43	1	4.181586364	0	0	4.674493717	4.227346713
L42	1	0	3.806586934	0	0	0
L41	1	4.734599832	0	4.94847165	4.420203374	3.693287157
L40	1	0	0	0	0	0
L39	1	0	0	0	0	0
L38	1	4.626832904	5.00837445	4.195484523	5.021536596	4.149742415
L37	1	4.877163941	0	4.464176456	4.905812065	0
L36	1	4.941809473	0	5.215399601	4.807920446	0
L35	1	4.609562396	0	4.097708381	5.134103762	4.039731296
L34	0	0	0	0	0	0
L33	1	4.921941256	0	5.235803581	0	3.524136377
L32	1	3.965671971	0	0	4.228887768	3.789580712
L31	1	0	5.153625867	4.13940677	0	4.030275803
L30	1	4.019074729	0	0	4.253144081	3.651181062
L29	1	0	0	4.62711996	0	0
L28	1	4.688384223	0	5.244677823	4.466541406	4.357401175
L27	1	0	4.86677749	4.331690426	0	3.787672965
L26	1	0	0	0	0	0
L25	1	0	0	0	0	0
L24	1	0	0	0	0	0
L23	1	4.312050351	0	5.078913349	4.689468693	4.101231387
L22	1	0	0	0	0	0
L21	1	0	0	0	0	0
L20	1	3.912434633	0	4.575141641	0	3.690639012
L19	1	3.938369597	3.859198362	4.160198326	0	3.461348434
L18	1	0	0	0	0	3.675411694
L17	1	0	0	0	0	0
L16	1	0	0	0	0	0
L15	1	3.727378569	0	3.852235939	0	3.727378569
L14	1	3.490099005	0	0	0	0
L13	1	0	0	0	0	0
L12	1	0	0	0	0	0
L11	0	0	0	0	0	0
L10	0	0	0	0	0	0
L9	0	0	0	0	0	0
L8	1	4.030073231	4.331082964	4.900951258	4.546678359	4.226367876
L7	1	0	0	4.462502815	4.077186154	3.931050847
L6	0	4.528672502	0	0	0	0
L5	0	0	0	0	0	0
L4	1	0	0	3.719248398	0	0
L3	0	0	0	0	0	0
L2	0	0	0	0	0	0
L1	0	0	0	0	0	3.920175522
