ID,Group,f__AKAU3564_sediment_group,f__Desulfuromonadaceae,g__Citrifermentans,g__Geobacter,o__Dehalococcoidales
m1,1,0,0,0,0,0.00201
m2,1,0,0,0,0,0.00202
m3,1,0,0,0,0,0.00203
m4,1,0,0,0,0,0.00204
m5,1,0,0,0,0,0.00205
m6,1,0,0,0,0,0.00206
m7,1,0,0,0,0,0.00207
m8,1,0,0,0,0,0.00208
m9,1,0,0,0,0,0.00209
m10,1,0,0,0,0,0.0021
m11,1,0,0,0,0,0.00211
m12,1,0,0,0,0,0.00212
m13,1,0,0,0,0,0.00213
m14,1,0,0,0,0,0.00214
m15,1,0,0,0,0,0.00215
m16,1,0,0,0,0,0.00216
m17,1,0,0,0,0,0.00217
m18,1,0,0,0,0,0.00218
m19,1,0,0,0,0,0.00219
m20,1,0,0,0,0,0.0022
m21,1,0,0,0,0,0.00221
m22,1,0,0,0,0,0.00222
m23,1,0,0,0,0,0.00223
m24,1,0,0,0,0,0.00224
m25,1,0,0,0,0,0.00225
m26,1,0,0,0,0,0.00226
m27,1,0,0,0,0,0.00227
m28,1,0,0,0,0,0.00228
m29,1,0,0,0,0,0.00229
m30,1,0,0,0,0,0.0023
m31,1,0,0,0,0,0.00231
m32,1,0,0,0,0,0.00232
m33,1,0,0,0,0,0.00233
m34,1,0,0,0,0,0.00234
m35,1,0,0,0,0,0.00235
m36,1,0,0,0,0,0.00236
m37,1,0,0,0,0,0.00237
m38,1,0,0,0,0,0.00238
m39,1,0,0,0,0,0.00239
m40,1,0,0,0,0,0.0024
m41,1,0,0,0,0,0.00241
m42,1,0,0,0,0,0.00242
m43,1,0,0,0,0,0.00243
m44,1,0,0,0,0,0.00244
m45,1,0,0,0,0,0.00245
m46,1,0,0,0,0,0.00246
m47,1,0,0,0,0,0.00247
m48,1,0,0,0,0,0.00248
m49,1,0,0,0,0,0.00249
m50,1,0,0,0,0,0.0025
m51,1,0,0,0,0,0.00251
m52,1,0,0,0,0,0.00252
m53,1,0,0,0,0,0.00253
m54,1,0,0,0,0,0.00254
m55,1,0,0,0,0,0.00255
m56,1,0,0,0,0,0.00256
m57,1,0,0,0,0,0.00257
m58,1,0,0,0,0,0.00258
m59,1,0,0,0,0,0.00259
m60,1,0,0,0,0,0.0026
