ID,Group,f__AKAU3564_sediment_group,f__Desulfuromonadaceae,g__Citrifermentans,g__Geobacter,o__Dehalococcoidales
m1,1,1,0,0,0,0
m2,1,1,0,0,0,0
m3,1,1,0,0,0,0
m4,1,1,0,0,0,0
m5,1,1,0,0,0,0
m6,1,0,1,0,0,0
m7,1,0,1,0,0,0
m8,1,0,1,0,0,0
m9,1,0,1,0,0,0
m10,1,0,1,0,0,0
m11,1,0,0,1,0,0
m12,1,0,0,1,0,0
m13,1,0,0,1,0,0
m14,1,0,0,1,0,0
m15,1,0,0,1,0,0
m16,1,0,0,0,1,0
m17,1,0,0,0,1,0
m18,1,0,0,0,1,0
m19,1,0,0,0,1,0
m20,1,0,0,0,1,0
m21,1,0,0,0,0,1
m22,1,0,0,0,0,1
m23,1,0,0,0,0,1
m24,1,0,0,0,0,1
m25,1,0,0,0,0,1
m26,1,1,1,0,0,0
m27,1,1,1,0,0,0
m28,1,1,1,0,0,0
m29,1,1,1,0,0,0
m30,1,1,1,0,0,0
m31,1,1,0,1,0,0
m32,1,1,0,1,0,0
m33,1,1,0,1,0,0
m34,1,1,0,1,0,0
m35,1,1,0,1,0,0
m36,1,1,0,0,1,0
m37,1,1,0,0,1,0
m38,1,1,0,0,1,0
m39,1,1,0,0,1,0
m40,1,1,0,0,1,0
m41,1,1,0,0,0,1
m42,1,1,0,0,0,1
m43,1,1,0,0,0,1
m44,1,1,0,0,0,1
m45,1,1,0,0,0,1
m46,1,0,1,1,0,0
m47,1,0,1,1,0,0
m48,1,0,1,1,0,0
m49,1,0,1,1,0,0
m50,1,0,1,1,0,0
m51,1,0,1,0,1,0
m52,1,0,1,0,1,0
m53,1,0,1,0,1,0
m54,1,0,1,0,1,0
m55,1,0,1,0,1,0
m56,1,0,1,0,0,1
m57,1,0,1,0,0,1
m58,1,0,1,0,0,1
m59,1,0,1,0,0,1
m60,1,0,1,0,0,1
m61,1,0,0,1,1,0
m62,1,0,0,1,1,0
m63,1,0,0,1,1,0
m64,1,0,0,1,1,0
m65,1,0,0,1,1,0
m66,1,0,0,1,0,1
m67,1,0,0,1,0,1
m68,1,0,0,1,0,1
m69,1,0,0,1,0,1
m70,1,0,0,1,0,1
m71,1,0,0,0,1,1
m72,1,0,0,0,1,1
m73,1,0,0,0,1,1
m74,1,0,0,0,1,1
m75,1,0,0,0,1,1
m76,1,1,1,1,0,0
m77,1,1,1,1,0,0
m78,1,1,1,1,0,0
m79,1,1,1,1,0,0
m80,1,1,1,1,0,0
m81,1,1,1,0,1,0
m82,1,1,1,0,1,0
m83,1,1,1,0,1,0
m84,1,1,1,0,1,0
m85,1,1,1,0,1,0
m86,1,1,1,0,0,1
m87,1,1,1,0,0,1
m88,1,1,1,0,0,1
m89,1,1,1,0,0,1
m90,1,1,1,0,0,1
m91,1,1,0,1,1,0
m92,1,1,0,1,1,0
m93,1,1,0,1,1,0
m94,1,1,0,1,1,0
m95,1,1,0,1,1,0
m96,1,1,0,1,0,1
m97,1,1,0,1,0,1
m98,1,1,0,1,0,1
m99,1,1,0,1,0,1
m100,1,1,0,1,0,1
m101,1,1,0,0,1,1
m102,1,1,0,0,1,1
m103,1,1,0,0,1,1
m104,1,1,0,0,1,1
m105,1,1,0,0,1,1
m106,1,0,1,1,1,0
m107,1,0,1,1,1,0
m108,1,0,1,1,1,0
m109,1,0,1,1,1,0
m110,1,0,1,1,1,0
m111,1,0,1,1,0,1
m112,1,0,1,1,0,1
m113,1,0,1,1,0,1
m114,1,0,1,1,0,1
m115,1,0,1,1,0,1
m116,1,0,1,0,1,1
m117,1,0,1,0,1,1
m118,1,0,1,0,1,1
m119,1,0,1,0,1,1
m120,1,0,1,0,1,1
m121,1,0,0,1,1,1
m122,1,0,0,1,1,1
m123,1,0,0,1,1,1
m124,1,0,0,1,1,1
m125,1,0,0,1,1,1
m126,1,1,1,1,1,0
m127,1,1,1,1,1,0
m128,1,1,1,1,1,0
m129,1,1,1,1,1,0
m130,1,1,1,1,1,0
m131,1,1,1,1,0,1
m132,1,1,1,1,0,1
m133,1,1,1,1,0,1
m134,1,1,1,1,0,1
m135,1,1,1,1,0,1
m136,1,1,0,1,1,1
m137,1,1,0,1,1,1
m138,1,1,0,1,1,1
m139,1,1,0,1,1,1
m140,1,1,0,1,1,1
m141,1,0,1,1,1,1
m142,1,0,1,1,1,1
m143,1,0,1,1,1,1
m144,1,0,1,1,1,1
m145,1,0,1,1,1,1
m146,1,1,1,0,1,1
m147,1,1,1,0,1,1
m148,1,1,1,0,1,1
m149,1,1,1,0,1,1
m150,1,1,1,0,1,1
m151,1,1,1,1,1,1
m152,1,1,1,1,1,1
m153,1,1,1,1,1,1
m154,1,1,1,1,1,1
m155,1,1,1,1,1,1
