ID,f__AKAU3564_sediment_group,f__Desulfuromonadaceae,g__Citrifermentans,g__Geobacter,o__Dehalococcoidales
SS520,0,0,0,1,1
SS441,0,0,0,1,1
SS533,0,1,0,1,0
SS474,0,0,0,1,0
SS456,0,0,0,0,1
SS458,1,0,0,0,0
SS459,0,0,0,1,0
SS464,0,1,0,0,0
SS470,0,1,0,0,0
SS471,0,0,0,1,0
SS523,0,0,0,1,0
SS522,1,0,0,0,0
SS452-D,0,0,0,1,0
SS512,0,0,0,1,1
SS511,1,1,0,0,0
SS510,0,1,0,1,0
SS508,0,1,0,0,0
SS507,1,1,0,0,0
SS504,1,0,0,0,0
SS501,1,0,0,1,1
SS500,1,0,0,0,0
SS499,0,1,0,1,0
SS498,1,1,0,1,0
SS497-D,0,1,0,0,0
SS496-D,1,1,0,1,0
SS488,0,1,0,0,0
SS487,0,1,0,0,0
SS486,1,1,0,0,0
SS485,1,0,0,0,0
SS528,0,0,0,0,1
SS494-W,0,0,0,1,0
SS495-W,0,0,0,1,0
SS497-W,0,1,0,1,0
SS535,1,1,0,0,0
SS447-D,0,0,0,1,0
SS444-D,0,0,0,1,0
SS419,0,0,0,0,1
SS417,0,0,1,0,0
SS414,0,0,0,1,1
SS411,0,0,0,1,0
SS410,0,1,0,1,0
SS402,0,0,0,0,1
SS400,0,1,0,0,1
SS384-D,0,1,0,0,0
SS380-D,0,1,0,0,0
SS452-W,0,0,0,1,0
SS447-W,0,0,0,0,1
SS446-W,0,0,0,1,0
SS391-W,0,1,0,0,0
SS385-W,0,0,0,1,0
SS383-W,0,0,0,1,0
