ID	Group	f__AKAU3564_sediment_group	f__Desulfuromonadaceae	g__Citrifermentans	g__Geobacter	o__Dehalococcoidales
SS136	0	0	0	0	0	0
SS135	0	0	0	0	0	0
SS134	0	0	0	0	0	0
SS133	0	0	0	0	0	0
SS132	0	0	0	0	0	0
SS131	0	1	0	0	0	0
SS130	0	1	1	0	0	0
SS113	0	0	0	0	0	0
SS112	0	0	0	0	0	0
SS111	0	0	0	0	0	0
SS110	0	0	0	0	0	0
SS109	0	0	0	0	0	0
SS108	0	0	0	0	0	0
SS107	0	0	0	0	0	0
SS106	0	0	0	0	0	0
SS105	0	0	0	0	0	0
SS104	0	0	0	0	0	1
SS103	0	0	0	0	0	0
SS102	0	0	0	0	1	0
SS101	0	0	0	0	0	0
SS100	0	0	0	0	0	0
SS99	0	0	0	0	0	0
SS98	0	0	0	0	0	0
SS97	0	0	1	0	0	0
SS96	0	0	0	0	0	0
SS95	0	0	0	0	0	0
SS94	0	0	0	0	0	0
SS93	0	0	0	0	0	0
SS92	0	0	0	0	0	0
SS91	0	0	0	0	0	0
SS90	0	0	0	0	1	0
SS89	0	0	1	0	0	0
SS88	0	0	0	0	0	0
SS87	0	0	0	0	0	0
SS86	0	0	0	0	1	0
SS85	0	0	0	0	0	0
SS84	0	0	0	0	0	0
SS83	0	0	0	0	0	0
SS82	0	0	0	0	0	0
SS81	0	0	0	0	0	0
SS80	0	0	1	0	1	0
SS79	0	0	0	0	0	0
SS78	0	0	0	0	0	0
SS77	0	0	0	0	0	0
SS76	0	0	0	0	0	0
SS75	0	0	0	0	0	0
SS74	0	0	0	0	0	0
SS73	0	0	0	0	0	0
SS72	0	0	0	0	0	0
SS71	0	0	0	0	0	0
SS70	0	0	1	0	0	0
SS69	0	0	0	0	0	0
SS68	0	0	0	0	0	0
SS67	0	0	0	0	0	0
SS66	0	1	1	0	0	0
SS65	0	0	0	0	1	0
SS64	0	0	0	0	0	0
SS63	0	0	0	0	0	0
SS62	0	0	0	0	0	0
SS61	0	0	0	0	0	0
SS60	0	0	0	0	0	0
SS59	0	0	0	0	0	0
SS58	0	0	0	0	0	0
SS57	0	0	0	0	0	0
SS56	0	0	0	0	0	0
SS55	0	0	0	0	0	0
SS54	0	0	0	0	0	0
SS53	0	0	0	0	0	0
SS52	0	0	0	0	0	0
SS51	0	0	0	0	0	0
SS50	0	0	0	0	0	0
SS49	0	0	0	0	0	0
SS48	0	0	1	0	0	0
SS47	0	1	0	0	0	0
SS46	0	0	0	0	0	0
SS45	0	0	0	0	0	0
SS44	0	0	0	0	0	0
SS43	0	1	1	0	1	0
SS42	0	1	0	0	0	0
SS41	0	1	0	0	0	0
SS40	0	0	0	0	0	0
SS39	0	0	0	0	0	0
SS38	0	0	0	0	0	0
SS37	0	1	0	0	1	1
SS36	0	0	0	0	1	1
SS35	0	0	0	0	1	1
SS540	0	0	0	1	0	0
SS539	0	0	0	1	0	0
SS538	0	0	0	0	0	0
SS151	0	0	0	0	0	0
SS152	0	0	0	0	0	0
SS153	0	0	0	0	0	0
SS154	0	0	0	0	0	0
SS155	0	0	0	0	0	0
SS156	0	0	0	0	0	0
SS157	0	0	0	0	0	0
SS158	0	0	1	0	1	1
SS159	0	0	0	0	0	0
SS160	0	0	0	0	0	0
SS161	0	0	0	0	0	0
SS162	0	0	0	0	1	0
SS163	0	0	0	0	0	0
SS164	0	0	0	0	0	0
SS1	0	0	0	0	0	0
SS2	0	0	0	0	0	0
SS3	0	0	0	0	0	0
SS4	0	0	0	0	0	0
SS5	0	0	0	0	0	0
SS6	0	0	0	0	0	0
SS7	0	0	0	0	0	0
SS8	0	0	1	0	0	0
SS9	0	0	0	0	0	0
SS10	0	0	0	0	0	0
SS11	0	0	0	0	0	0
SS12	0	0	0	0	0	0
SS13	0	0	0	0	0	0
SS14	0	0	0	0	0	0
SS15	0	0	0	0	0	0
SS16	0	0	0	0	0	0
SS17	0	0	0	0	0	0
SS18	0	0	0	0	0	0
SS19	0	0	0	0	0	0
SS20	0	0	0	0	0	0
SS21	0	0	0	0	0	0
SS22	0	0	0	0	0	0
SS23	0	0	0	0	0	0
SS24	0	0	0	0	0	0
SS25	0	0	0	0	0	0
SS26	0	0	0	0	0	0
SS27	0	0	0	0	0	0
SS28	0	0	0	0	0	0
SS29	0	0	0	0	0	0
SS30	0	0	0	0	0	0
SS31	0	0	0	0	0	0
SS32	0	0	0	0	0	0
SS33	0	0	0	0	0	0
SS34	0	0	0	0	0	0
SS137	0	0	1	0	0	0
SS138	0	0	0	0	0	0
SS537	0	0	0	0	0	0
SS139	0	0	0	0	0	0
SS140	0	0	1	0	0	0
SS141	0	0	0	0	0	0
SS142	0	0	0	0	0	0
SS143	0	0	0	0	0	0
SS144	0	0	0	0	0	0
SS145	0	0	0	0	0	0
SS146	0	0	0	0	0	0
SS147	0	0	0	0	0	0
SS148	0	0	0	0	0	0
SS149	0	0	0	0	0	0
SS150	0	0	0	0	0	0
SS165	0	0	0	0	0	0
SS166	0	0	1	0	0	0
SS167	0	0	0	0	0	0
SS168	0	0	0	0	0	0
SS169	0	0	0	0	0	0
SS170	0	0	0	0	0	0
SS114	0	0	0	0	0	0
SS115	0	0	0	0	0	0
SS116	0	0	0	0	0	0
SS117	0	0	0	0	0	0
SS118	0	0	0	0	0	0
SS119	0	0	0	0	0	0
SS120	0	0	0	0	0	0
SS121	0	0	0	0	0	0
SS122	0	0	0	0	0	0
SS123	0	0	0	0	0	0
SS124	0	0	0	0	0	0
SS125	0	0	1	0	0	1
SS126	0	0	0	0	0	0
SS127	0	0	0	0	0	0
SS128	0	0	0	0	0	0
SS129	0	0	0	0	0	0
SS272	1	1	1	1	1	1
SS271	1	1	1	1	1	0
SS270	1	0	1	1	1	0
SS269	1	1	1	0	1	1
SS268	1	1	1	0	1	0
SS267	1	1	0	1	1	1
SS265	1	1	1	0	1	1
SS260	1	1	1	1	1	0
SS259	1	1	1	1	1	0
SS258	1	1	1	1	1	0
SS257	1	1	1	1	1	1
SS256	1	0	1	1	1	0
SS255	1	1	1	1	1	1
SS254	1	1	1	0	1	1
SS253	1	0	1	1	1	1
SS252	1	1	1	1	1	1
SS251	1	1	1	1	1	1
SS250	1	1	1	1	0	1
SS249	1	1	1	0	1	1
SS248	1	1	1	1	1	0
SS247	1	0	1	1	0	1
SS246	1	1	1	0	1	1
SS245	1	1	1	1	1	0
SS244	1	1	1	0	0	1
SS243	1	1	1	1	1	1
SS242	1	0	0	0	0	0
SS241	1	1	0	0	0	0
SS240	1	0	1	1	1	1
SS239	1	1	1	0	1	1
SS238	1	0	1	0	1	1
SS237	1	0	0	0	0	0
SS236	1	0	1	0	0	0
SS235	1	0	1	1	1	0
SS234	1	0	1	0	1	1
SS233	1	0	1	1	1	1
SS232	1	1	1	0	0	0
SS231	1	0	0	0	0	0
SS230	1	1	1	1	1	0
SS229	1	1	1	0	1	1
SS228	1	1	1	0	1	1
SS227	0	0	1	1	1	0
SS226	1	1	0	1	1	1
SS296	1	1	0	0	1	1
SS225	1	0	0	0	0	0
SS224	1	0	1	1	1	0
SS223	1	1	1	1	0	1
SS222	1	1	1	1	1	0
SS221	1	1	1	1	1	1
SS220	1	0	1	1	1	0
SS219	1	0	1	0	0	0
SS218	0	0	0	0	0	0
SS217	1	0	0	0	0	1
SS216	0	0	0	0	0	0
SS215	1	0	1	1	0	0
SS214	1	0	1	1	1	0
SS213	1	1	1	1	1	1
SS212	1	1	1	0	0	1
SS211	1	0	0	0	0	1
SS210	1	0	0	0	0	0
SS209	1	1	1	1	1	1
SS208	1	1	1	0	1	1
SS207	1	1	1	0	1	0
SS206	0	0	1	0	0	0
SS205	1	1	1	0	0	0
SS204	1	1	1	1	1	0
SS203	0	0	0	0	1	1
SS202	1	0	0	0	0	0
SS201	1	1	0	1	1	1
SS200	1	1	0	0	0	0
SS199	1	0	0	0	1	0
SS198	1	0	0	0	0	0
SS197	1	1	0	0	1	0
SS196	1	1	1	1	1	1
SS195	1	0	1	0	1	0
SS194	1	1	1	1	1	1
SS193	1	1	1	1	1	1
SS543	1	1	1	1	1	1
SS541	1	1	0	0	1	0
SS542	1	1	1	0	0	0
SS192	1	1	1	1	1	0
SS191	1	1	1	1	1	1
SS190	1	0	0	1	0	0
SS189	1	1	0	0	0	0
SS188	1	1	1	1	1	1
SS187	1	1	0	1	1	1
SS186	1	1	0	1	1	1
SS185	1	1	1	1	1	1
SS184	1	0	1	0	1	1
SS312	1	0	0	0	1	0
SS313	1	0	0	1	1	0
SS314	1	1	0	0	1	1
SS315	1	0	0	0	1	1
SS171	1	1	0	0	1	1
SS172	1	1	0	1	1	1
SS173	1	1	0	1	1	1
SS174	1	1	0	1	1	1
SS175	1	0	0	0	0	0
SS176	1	1	0	1	0	0
SS177	1	0	0	1	1	1
SS178	1	1	0	1	1	1
SS179	1	0	0	0	0	0
SS180	1	0	0	0	1	1
SS181	1	0	0	1	1	1
SS182	1	0	0	1	1	0
SS183	1	1	1	1	1	1
SS293	1	0	1	1	1	0
SS294	1	0	0	0	0	1
SS316	1	1	0	0	0	1
SS295	1	1	1	1	1	1
SS297	1	1	1	0	0	0
SS298	1	0	0	0	1	1
SS320	1	0	0	0	1	0
SS321	1	0	0	0	0	0
SS299	1	0	0	0	0	0
SS300	1	0	0	0	0	0
SS301	1	0	0	0	0	0
SS302	1	0	0	0	0	0
SS303	1	1	0	1	1	1
SS304	1	0	0	0	0	0
SS305	1	0	0	0	0	0
SS306	1	0	0	0	1	1
SS307	1	1	0	0	1	1
