ID,Group,f__AKAU3564_sediment_group,f__Desulfuromonadaceae,g__Citrifermentans,g__Geobacter,o__Dehalococcoidales
L104,1,1,0,1,1,1
L103,1,0,1,1,1,1
L102,1,1,0,1,1,0
L101,1,1,0,1,0,0
L100,1,1,0,1,1,1
L99,1,1,0,0,1,0
L98,1,1,1,1,1,1
L97,1,1,0,1,1,1
L96,1,1,1,1,1,1
L95,1,0,0,1,0,0
L94,1,0,0,0,0,1
L93,1,1,0,1,1,1
L92,1,1,0,1,1,1
L91,1,1,0,0,0,0
L90,1,1,0,1,0,1
L89,1,1,0,1,1,1
L88,1,0,0,0,0,0
L87,1,0,0,0,0,0
L86,1,0,0,0,0,0
L85,0,1,0,0,0,0
L84,0,0,0,0,0,0
L83,0,0,0,0,0,0
L82,0,0,0,0,0,1
L81,0,0,0,0,0,0
L80,0,0,0,0,1,0
L79,0,0,0,0,1,0
L78,0,1,0,0,0,0
L77,0,0,0,0,0,0
L76,0,0,0,0,0,1
L75,0,0,0,0,0,0
L74,0,0,0,0,0,0
L73,0,0,0,0,0,0
L72,0,0,0,0,0,0
L71,0,0,0,0,0,0
L70,0,0,0,0,0,0
L69,1,0,0,0,0,0
L68,1,1,1,0,1,0
L67,1,0,0,0,1,1
L66,1,1,1,1,1,1
L65,1,0,0,0,0,0
L64,1,1,1,1,0,1
L63,1,0,0,0,0,1
L62,1,1,0,1,1,0
L61,1,1,0,1,1,1
L60,1,1,0,1,1,1
L59,1,1,1,1,1,1
L58,1,1,1,1,1,1
L57,1,1,1,1,1,0
L56,1,1,0,1,0,0
L55,1,0,0,0,1,0
L54,1,1,0,1,1,1
L53,1,1,1,1,1,1
L52,1,1,1,1,1,1
L51,1,1,1,1,1,0
L50,1,0,0,1,1,0
L49,1,1,0,1,1,1
L48,1,0,1,0,0,0
L47,1,0,0,0,0,0
L46,1,1,1,1,0,1
L45,1,1,1,0,0,0
L44,1,1,1,0,0,1
L43,1,1,0,0,1,1
L42,1,0,1,0,0,0
L41,1,1,0,1,1,1
L40,1,0,0,0,0,0
L39,1,0,0,0,0,0
L38,1,1,1,1,1,1
L37,1,1,0,1,1,0
L36,1,1,0,1,1,0
L35,1,1,0,1,1,1
L34,0,0,0,0,0,0
L33,1,1,0,1,0,1
L32,1,1,0,0,1,1
L31,1,0,1,1,0,1
L30,1,1,0,0,1,1
L29,1,0,0,1,0,0
L28,1,1,0,1,1,1
L27,1,0,1,1,0,1
L26,1,0,0,0,0,0
L25,1,0,0,0,0,0
L24,1,0,0,0,0,0
L23,1,1,0,1,1,1
L22,1,0,0,0,0,0
L21,1,0,0,0,0,0
L20,1,1,0,1,0,1
L19,1,1,1,1,0,1
L18,1,0,0,0,0,1
L17,1,0,0,0,0,0
L16,1,0,0,0,0,0
L15,1,1,0,1,0,1
L14,1,1,0,0,0,0
L13,1,0,0,0,0,0
L12,1,0,0,0,0,0
L11,0,0,0,0,0,0
L10,0,0,0,0,0,0
L9,0,0,0,0,0,0
L8,1,1,1,1,1,1
L7,1,0,0,1,1,1
L6,0,1,0,0,0,0
L5,0,0,0,0,0,0
L4,1,0,0,1,0,0
L3,0,0,0,0,0,0
L2,0,0,0,0,0,0
L1,0,0,0,0,0,1
