ID,Group,f__AKAU3564_sediment_group,f__Desulfuromonadaceae,g__Citrifermentans,g__Geobacter,o__Dehalococcoidales
SS520,1,0,0,0,0.004865,0.014594
SS441,1,0,0,0,0.006796,0.008495
SS533,1,0,0.008187,0,0.037662,0
SS474,1,0,0,0,0.003226,0
SS456,1,0,0,0,0,0.003827
SS458,1,0.003171,0,0,0,0
SS459,1,0,0,0,0.009642,0
SS464,1,0,0.003057,0,0,0
SS470,1,0,0.007212,0,0,0
SS471,1,0,0,0,0.003298,0
SS523,1,0,0,0,0.004415,0
SS522,1,0.009908,0,0,0,0
SS452-D,1,0,0,0,0.00292,0
SS512,1,0,0,0,0.002952,0.00738
SS511,1,0.006662,0.008328,0,0,0
SS510,1,0,0.073447,0,0.034475,0
SS508,1,0,0.028249,0,0,0
SS507,1,0.01274,0.028666,0,0,0
SS504,1,0.00556,0,0,0,0
SS501,1,0.014562,0,0,0.003236,0.009708
SS500,1,0.015128,0,0,0,0
SS499,1,0,0.007096,0,0.00887,0
SS498,1,0.034143,0.023361,0,0.007188,0
SS497-D,1,0,0.022225,0,0,0
SS496-D,1,0.022956,0.0352,0,0.018365,0
SS488,1,0,0.012923,0,0,0
SS487,1,0,0.004711,0,0,0
SS486,1,0.020684,0.012729,0,0,0
SS485,1,0.003363,0,0,0,0
SS528,1,0,0,0,0,0.004811
SS494-W,1,0,0,0,0.009046,0
SS495-W,1,0,0,0,0.004729,0
SS497-W,1,0,0.006427,0,0.008034,0
SS535,1,0.013535,0.006768,0,0,0
SS447-D,1,0,0,0,0.018033,0
SS444-D,1,0,0,0,0.01579,0
SS419,1,0,0,0,0,0.008337
SS417,1,0,0,0.003069,0,0
SS414,1,0,0,0,0.004751,0.009502
SS411,1,0,0,0,0.007516,0
SS410,1,0,0.0199,0,0.010715,0
SS402,1,0,0,0,0,0.006405
SS400,1,0,0.009115,0,0,0.003038
SS384-D,1,0,0.004943,0,0,0
SS380-D,1,0,0.003975,0,0,0
SS452-W,1,0,0,0,0.012747,0
SS447-W,1,0,0,0,0,0.011221
SS446-W,1,0,0,0,0.028028,0
SS391-W,1,0,0.030765,0,0,0
SS385-W,1,0,0,0,0.004849,0
SS383-W,1,0,0,0,0.015556,0
