ID	Group	f__AKAU3564_sediment_group	f__Desulfuromonadaceae	g__Citrifermentans	g__Geobacter	o__Dehalococcoidales
L104	1	0.091239	0	0.106704	0.018557	0.012371
L103	1	0	0.008435	0.037955	0.037955	0.016869
L102	1	0.612451	0	0.025645	0.632062	0
L101	1	0.006647	0	0.02825	0	0
L100	1	0.224259	0	0.044074	0.422592	0.005185
L99	1	0.002878	0	0	0.035974	0
L98	1	0.075691	0.002968	0.075691	0.639665	0.010389
L97	1	0.300378	0	0.051842	0.454379	0.007624
L96	1	0.161247	0.003014	0.040688	0.470177	0.010549
L95	1	0	0	0.006944	0	0
L94	1	0	0	0	0	0.006239
L93	1	0.289588	0	0.168661	0.044552	0.052508
L92	1	0.078048	0	0.105595	0.038259	0.027547
L91	1	0.00457	0	0	0	0
L90	1	0.230398	0	0.16457	0	0.091261
L89	1	0.092105	0	0.079178	0.024238	0.021006
L88	1	0	0	0	0	0
L87	1	0	0	0	0	0
L86	1	0	0	0	0	0
L85	0	0.012514	0	0	0	0
L84	0	0	0	0	0	0
L83	0	0	0	0	0	0
L82	0	0	0	0	0	0.003014
L81	0	0	0	0	0	0
L80	0	0	0	0	0.005332	0
L79	0	0	0	0	0.006703	0
L78	0	0.002835	0	0	0	0
L77	0	0	0	0	0	0
L76	0	0	0	0	0	0.004144
L75	0	0	0	0	0	0
L74	0	0	0	0	0	0
L73	0	0	0	0	0	0
L72	0	0	0	0	0	0
L71	0	0	0	0	0	0
L70	0	0	0	0	0	0
L69	1	0	0	0	0	0
L68	1	0.010876	0.045319	0	0.018127	0
L67	1	0	0	0	0.010979	0.006274
L66	1	0.004728	0.031521	0.009456	0.037826	0.006304
L65	1	0	0	0	0	0
L64	1	0.011038	0.168727	0.018923	0	0.007884
L63	1	0	0	0	0	0.00644
L62	1	0.017015	0	0.112296	0.010209	0
L61	1	0.005348	0	0.053481	0.024958	0.008913
L60	1	0.011183	0	0.070291	0.02556	0.00639
L59	1	0.14787	0.017228	0.146434	0.081831	0.011485
L58	1	0.033009	0.03875	0.058842	0.048796	0.011481
L57	1	0.067782	0.014187	0.048866	0.100884	0
L56	1	0.004832	0	0.0306	0	0
L55	1	0	0	0	0.009935	0
L54	1	0.006125	0	0.007656	0.02603	0.004594
L53	1	0.086328	0.057038	0.016957	0.100202	0.016957
L52	1	0.045146	0.093406	0.017124	0.014011	0.012454
L51	1	0.005065	0.01013	0.043895	0.01013	0
L50	1	0	0	0.030104	0.005312	0
L49	1	0.003407	0	0.040888	0.017037	0.005111
L48	1	0	0.006054	0	0	0
L47	1	0	0	0	0	0
L46	1	0.003006	0.127764	0.013528	0	0.013528
L45	1	0.004755	0.03804	0	0	0
L44	1	0.006148	0.053791	0	0	0.003074
L43	1	0.01519	0	0	0.047259	0.016878
L42	1	0	0.006405	0	0	0
L41	1	0.054274	0	0.088811	0.026314	0.004934
L40	1	0	0	0	0	0
L39	1	0	0	0	0	0
L38	1	0.042347	0.101946	0.015684	0.105083	0.014116
L37	1	0.075363	0	0.029118	0.080502	0
L36	1	0.087459	0	0.164209	0.064256	0
L35	1	0.040696	0	0.012522	0.136176	0.010957
L34	0	0	0	0	0	0
L33	1	0.083548	0	0.172108	0	0.003342
L32	1	0.009239	0	0	0.016938	0.006159
L31	1	0	0.142437	0.013784	0	0.010721
L30	1	0.010448	0	0	0.017911	0.004478
L29	1	0	0	0.042375	0	0
L28	1	0.048795	0	0.175661	0.029277	0.022771
L27	1	0	0.073582	0.021462	0	0.006132
L26	1	0	0	0	0	0
L25	1	0	0	0	0	0
L24	1	0	0	0	0	0
L23	1	0.020513	0	0.119925	0.048917	0.012624
L22	1	0	0	0	0	0
L21	1	0	0	0	0	0
L20	1	0.008173	0	0.037595	0	0.004904
L19	1	0.008676	0.00723	0.01446	0	0.002892
L18	1	0	0	0	0	0.004735
L17	1	0	0	0	0	0
L16	1	0	0	0	0	0
L15	1	0.005337	0	0.007115	0	0.005337
L14	1	0.00309	0	0	0	0
L13	1	0	0	0	0	0
L12	1	0	0	0	0	0
L11	0	0	0	0	0	0
L10	0	0	0	0	0	0
L9	0	0	0	0	0	0
L8	1	0.010716	0.021432	0.079606	0.03521	0.01684
L7	1	0	0	0.029006	0.011944	0.008531
L6	0	0.03378	0	0	0	0
L5	0	0	0	0	0	0
L4	1	0	0	0.005238	0	0
L3	0	0	0	0	0	0
L2	0	0	0	0	0	0
L1	0	0	0	0	0	0.00832
